From	To
Q9Y3D6	FIS1
Q49AN0	CRY2
P30273	FCER1G
O60356	NUPR1
P52179	MYOM1
Q969F2	NKD2
O95997	PTTG1
O43236	SEPTIN4
O00488	ZNF593
P16860	NPPB
Q9NZ94	NLGN3
Q9C000	NLRP1
Q16143	SNCB
P49354	FNTA
Q9Y296	TRAPPC4
P09132	SRP19
P48539	PCP4
Q16595	FXN
Q13573	SNW1
P30291	WEE1
P00736	C1R
P35638	DDIT3
O76070	SNCG
P32004	L1CAM
Q29983	MICA
P11171	EPB41
Q99801	NKX3-1
P24522	GADD45A
Q15517	CDSN
Q9UGL1	KDM5B
P02545	LMNA
P01160	NPPA
P46108	CRK
Q9BSY4	CHCHD5
O00585	CCL21
P15311	EZR
P15382	KCNE1
O15273	TCAP
P41236	PPP1R2
O14733	MAP2K7
O60888	CUTA
Q9BQ15	NABP2
Q6P3W2	DNAJC24
Q9H981	ACTR8
P21246	PTN
P08240	SRPRA
P47813	EIF1AX
P41567	EIF1
Q8N4Q1	CHCHD4
P21583	KITLG
P80723	BASP1
P17677	GAP43
Q9H832	UBE2Z
P27708	CAD
Q76LA1	CSTB
Q9Y6C2	EMILIN1
Q13698	CACNA1S
P16471	PRLR
Q12834	CDC20
Q9Y261	FOXA2
O43806	p27 kip1
P49757	NUMB
O14558	HSPB6
Q6FI81	CIAPIN1
P07305	H1-0
A6NF83	NUPR2
Q9UMS4	PRPF19
Q96SD1	DCLRE1C
O14974	PPP1R12A
Q9HAN9	NMNAT1
P02730	SLC4A1
Q15726	KISS1
O43474	KLF4
Q14978	NOLC1
P55735	SEC13
P20591	MX1
Q9UJX2	CDC23
O76074	PDE5A
P49848	TAF6
Q68DK7	MSL1
Q8N5Y2	MSL3
O43313	ATMIN
P49768	PSEN1
O14519	CDK2AP1
P50750	CDK9
Q8WUP2	FBLIM1
Q6NUK1	SLC25A24
Q9C0C7	AMBRA1
Q96B02	UBE2W
Q92913	FGF13
Q16543	CDC37
O60829	PAGE4
Q9UJX4	ANAPC5
Q9Y239	NOD1
P30281	CCND3
Q9UKT4	FBXO5
Q13042	CDC16
Q8NHZ8	CDC26
P60006	ANAPC15
Q96DE5	ANAPC16
Q9UHB7	AFF4
Q96GU1	PAGE5
Q02413	DSG1
Q9UJX5	ANAPC4
Q96FI4	NEIL1
P11912	CD79A
P40259	CD79B
Q9NR61	DLL4
Q06710	PAX8
Q9UM11	FZR1
O75554	WBP4
O00429	DNM1L
P06401	PGR
P29274	ADORA2A
P23443	RPS6KB1
Q96GC6	ZNF274
Q9UMR2	DDX19B
P08235	NR3C2
Q12905	ILF2
P52945	PDX1
Q9BRG1	VPS25
Q9Y6H6	KCNE3
P20823	HNF1A
P36578	RPL4
P12081	HARS1
P02549	SPTA1
Q7Z3C6	ATG9A
Q6PHW0	IYD
Q9NQA5	TRPV5
Q9H1D0	TRPV6
P58753	TIRAP
P50402	EMD
Q53GG5	PDLIM3
Q86UX7	FERMT3
Q9BUH6	PAXX
O43715	TRIAP1
P01042	KNG1
P52926	HMGA2
O14776	TCERG1
P83731	RPL24
P11021	HSPA5
P50553	ASCL1
Q9NRY2	INIP
P04083	ANXA1
P0CF51	TRGC1
Q14493	SLBP
P36894	BMPR1A
P16220	CREB1
P47710	CSN1S1
P04183	TK1
Q9H2Y7	ZNF106
O75683	SURF6
Q9NRJ3	CCL28
P17405	SMPD1
P28300	LOX
P49427	CDC34
P28698	MZF1
Q2TAZ0	ATG2A
Q676U5	ATG16L1
P16050	ALOX15
Q02388	COL7A1
Q9BS26	ERP44
P02808	STATH
Q03519	TAP2
P29375	KDM5A
P24385	CCND1
Q99958	FOXC2
Q96F86	EDC3
Q92905	COPS5
Q0JRZ9	FCHO2
O43663	PRC1
Q00169	PITPNA
Q9BUQ8	DDX23
Q9BTL3	RAMAC
P0DMV9	HSPA1B
